Date,Tweets,Subjectivity,Polarity,Label
2021-06-27 23:59,Best  riskadjusted returns in the past  hours:.  $ICP.  $ETH.  $BTC ,0.275,0.375,1
2021-06-27 23:59,"Something fishy going on A big dump may arrive todayps of $btc are taken toll coinbase,binance,okexFrom wallets conversion to usdt have startedTrade with strict stop loss$Btc $ETH $ADA $DOT $LINK $o ORN $EGLD $BAND $ANKR $WAVES $     $BEL $ONE $ALICE ",0.1,0.0,0
2021-06-27 23:59,That is a really nice weekly candle. $BTC  ,1.0,0.6,1
2021-06-27 23:59,DEFLATIONARY ROI PLATFORM  % Daily Passive Income With DRIP  HOTTEST BINANCE SMART CHAIN CONTRACT               $bnb $drip $btc $eth $trx,0.32142857142857145,0.10714285714285714,1
2021-06-27 23:59,Close enough I guess for $BTC weekly.This week better pumps to K All eyes on the monthly close on   &gt;.K &lt;K ,0.5,0.25,1
2021-06-27 23:59," Binance BTCUSDT  . $BTC valued at $,",0.0,0.0,0
2021-06-27 23:59,"$, $BTC LONGED @$,. [// ::]Binance | $BTCUSDTExit all of the $crypto markets  WolfOfPoloniex",1.0,0.5,1
2021-06-27 23:59,"$BTC bulls saved the day, the week and perhaps more. Decided to drop new trading upload to finish Sunday nicely. Enjoy ",0.48484848484848486,0.34545454545454546,1
2021-06-27 23:59,"mates,  presenting a fresh $PLE coin of  Defi Crosschain ETF Trading project· TD Market Cap: $,, USD· Initial MC (Without Liq.): $,. USD· Liquidity: $, USD$sol $fxc $comp $kenu $dot $btc $pmon $bat $cate $dav $coco $bake $cnn",0.25,0.15,1
2021-06-27 23:58,Wake me up when this thing breaks out  don’t think I’ve seen any chart like it   $QNT $BTC $ETH $XRP $ALBT $DAG $ZCX $VET $DOGE $XLM $XDC b    $ADA ,0.0,0.0,0
2021-06-27 23:58,Network I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future and will be the best.I love it.  $ZNN $QSR $PP $BTC,0.4083333333333334,0.3333333333333333,1
2021-06-27 23:58,$btc hr: let’s go bulls Great weekly close coming up.  ,0.75,0.8,1
2021-06-27 23:57, Believer Hopefully you set aside capital gains for taxes. You seem confident $BTC is on the rise or you are SOL,0.8333333333333334,0.5,1
2021-06-27 23:57,Buy some $btc people ,0.0,0.0,0
2021-06-27 23:57,"Is this really a $BTC chart, it sounds like a $DOGE chart ",0.2,0.2,1
2021-06-27 23:57," Big trade (BTCDEC) $, of $BTC bought at $.( Jun  :: UTC)",0.1,0.0,0
2021-06-27 23:57, Smart move Hopefully u didn’t but it with $btc to hand over a increasingly valuable asset to mr ,0.6428571428571429,0.21428571428571427,1
2021-06-27 23:57,Dont get fooled. We test k and down again $btc,0.2888888888888889,-0.15555555555555559,0
2021-06-27 23:57,$BTC R : $ S :  $  ,0.0,0.0,0
2021-06-27 23:56,"Watch how quickly the news narratives change, the “consensus” and emotional sentiment changes in the next several monthsYou may be astoundedI fully expect it    $btc   $xrp $xlm $hbar $one $mana $matic ",0.2875,0.08333333333333333,1
2021-06-27 23:56,WE have to crush this resistance.....   $BTC ,0.0,0.0,0
2021-06-27 23:56, doing a crowd fund for his  platform aiming to raise $ millionAre you in ?Thoughts please in comments. Im in$NEO $BTC $ETH $ADA  $MATIC,0.0,0.0,0
